"from","to","weight","language"
"15","67",3,"EUS"
"18","67",1,"EUS"
"20","67",1,"EUS"
"21","67",1,"EUS"
"23","67",1,"EUS"
"28","67",4,"EUS"
"36","67",1,"EUS"
"38","67",1,"EUS"
"42","67",1,"EUS"
"1","68",14,"EUS"
"9","68",6,"EUS"
"16","68",1,"EUS"
"18","68",4,"EUS"
"23","68",1,"EUS"
"28","68",1,"EUS"
"29","68",1,"EUS"
"39","68",1,"EUS"
"43","68",1,"EUS"
"51","68",2,"EUS"
"2","69",1,"EUS"
"14","69",1,"EUS"
"31","69",66,"EUS"
"55","69",1,"EUS"
"64","69",1,"EUS"
"1","70",8,"EUS"
"2","70",3,"EUS"
"3","70",3,"EUS"
"4","70",1,"EUS"
"6","70",1,"EUS"
"8","70",1,"EUS"
"18","70",1,"EUS"
"20","70",1,"EUS"
"30","70",1,"EUS"
"32","70",1,"EUS"
"63","70",1,"EUS"
"67","70",1,"EUS"
"70","70",6,"EUS"
"1","71",16,"EUS"
"2","71",1,"EUS"
"7","71",1,"EUS"
"8","71",1,"EUS"
"9","71",6,"EUS"
"10","71",4,"EUS"
"17","71",1,"EUS"
"21","71",1,"EUS"
"22","71",3,"EUS"
"34","71",1,"EUS"
"35","71",1,"EUS"
"45","71",1,"EUS"
"47","71",1,"EUS"
"1","72",6,"EUS"
"2","72",8,"EUS"
"3","72",1,"EUS"
"4","72",2,"EUS"
"6","72",1,"EUS"
"7","72",2,"EUS"
"9","72",5,"EUS"
"10","72",1,"EUS"
"16","72",1,"EUS"
"21","72",1,"EUS"
"22","72",1,"EUS"
"24","72",1,"EUS"
"33","72",1,"EUS"
"34","72",1,"EUS"
"37","72",1,"EUS"
"57","72",2,"EUS"
"58","72",1,"EUS"
"60","72",1,"EUS"
"65","72",3,"EUS"
"71","72",2,"EUS"
"1","73",13,"EUS"
"2","73",4,"EUS"
"3","73",3,"EUS"
"4","73",2,"EUS"
"7","73",1,"EUS"
"8","73",1,"EUS"
"11","73",1,"EUS"
"12","73",3,"EUS"
"16","73",1,"EUS"
"24","73",1,"EUS"
"41","73",1,"EUS"
"45","73",1,"EUS"
"56","73",1,"EUS"
"60","73",1,"EUS"
"66","73",1,"EUS"
"1","74",9,"EUS"
"2","74",1,"EUS"
"4","74",1,"EUS"
"5","74",9,"EUS"
"6","74",1,"EUS"
